s.no,EngDispl,NumCyl,FE,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift,FE(PREDICT),ERR,ABS ERR,MAPE,,,
27,1.6,4,52.6,5,0,1,2,2,1,0,43.33594154,9.264058456,9.264058456,0.176122784,,,
28,1.6,4,56.4204,6,1,1,2,2,1,0,43.33594154,13.08445846,13.08445846,0.231910062,,,
29,3.7,6,41.4056,6,1,0,2,2,1,0,33.84096063,7.564639373,7.564639373,0.182696045,,,
30,3.7,6,35.1628,7,1,0,2,2,1,1,33.84096063,1.321839373,1.321839373,0.037591983,,,
31,3.5,6,34.7494,6,1,0,2,2,1,0,34.74524452,0.004155476,0.004155476,0.000119584,,,
32,3.5,6,34.9,7,1,0,2,2,1,0,34.74524452,0.154755476,0.154755476,0.004434254,,,
33,5.5,8,30.6,7,1,0,2,2,1,0,25.70240556,4.897594444,4.897594444,0.160052106,,,
34,5.5,8,31.7,7,1,0,2,2,1,0,25.70240556,5.997594444,5.997594444,0.189198563,,,
35,1.6,4,47.8478,6,1,0,2,2,1,1,43.33594154,4.511858456,4.511858456,0.094296048,,,
36,1.6,4,50.2436,6,0,0,2,2,1,1,43.33594154,6.907658456,6.907658456,0.13748335,,,
37,1.8,4,47.2,4,1,0,2,2,1,0,42.43165765,4.768342353,4.768342353,0.101024202,,,
38,1.8,4,46.9,5,0,0,2,2,1,0,42.43165765,4.468342353,4.468342353,0.095273824,,,
39,4,8,28.4,6,0,0,2,2,1,0,32.48453478,-4.084534782,4.084534782,0.143821647,,,
40,4,8,27.9711,7,1,0,2,2,1,0,32.48453478,-4.513434782,4.513434782,0.161360647,,,
41,1.4,4,50.4,6,1,0,2,2,1,0,44.24022544,6.159774559,6.159774559,0.122217749,,,
42,1.4,4,54.05,6,1,0,2,2,1,0,44.24022544,9.809774559,9.809774559,0.181494441,,,
43,1.4,4,59.7,6,0,0,2,2,1,0,44.24022544,15.45977456,15.45977456,0.258957698,,,
44,1.4,4,52.7496,1,0,0,2,2,1,0,44.24022544,8.509374559,8.509374559,0.161316381,,,
45,2,4,40,4,1,0,2,2,1,0,41.52737375,-1.527373751,1.527373751,0.038184344,,,
46,2,4,40.9,6,1,0,2,2,1,0,41.52737375,-0.627373751,0.627373751,0.015339212,,,
47,3.6,6,40.5,6,1,0,2,2,1,0,34.29310258,6.206897424,6.206897424,0.153256727,,,
48,6.4,8,29.9499,5,1,0,1,1,1,0,21.63312802,8.31677198,8.31677198,0.277689474,,,
49,6.4,8,31.4,6,1,0,1,1,1,0,21.63312802,9.76687198,9.76687198,0.311046878,,,
50,1.8,4,56.9915,1,0,0,2,2,1,0,42.43165765,14.55984235,14.55984235,0.255473928,,,
51,1.5,4,46.5,4,1,0,2,2,1,0,43.78808349,2.711916507,2.711916507,0.058320785,,,
52,1.5,4,49.6,5,0,0,2,2,1,0,43.78808349,5.811916507,5.811916507,0.117175736,,,
53,1.6,4,42,6,1,0,2,2,1,1,43.33594154,-1.335941544,1.335941544,0.031808132,,,
54,1.6,4,49.9494,6,0,0,2,2,1,1,43.33594154,6.613458456,6.613458456,0.132403161,,,
55,1.6,4,45.3,6,1,0,2,2,1,1,43.33594154,1.964058456,1.964058456,0.043356699,,,
56,1.6,4,45.5,6,0,0,2,2,1,1,43.33594154,2.164058456,2.164058456,0.047561724,,,
57,1.6,4,42.8,6,1,0,2,2,1,1,43.33594154,-0.535941544,0.535941544,0.012521999,,,
58,1.6,4,43.7,6,0,0,2,2,1,1,43.33594154,0.364058456,0.364058456,0.008330857,,,
59,2.5,4,42.904,6,0,0,2,2,1,0,39.26666401,3.637335992,3.637335992,0.084778482,,,
60,2.5,4,43.2617,6,1,0,2,2,1,0,39.26666401,3.995035992,3.995035992,0.092345793,,,
61,2.5,4,37.5899,5,0,0,2,2,0,1,39.26666401,-1.676764008,1.676764008,0.04460677,,,
62,2.5,4,36.6557,4,1,0,2,2,0,1,39.26666401,-2.610964008,2.610964008,0.071229413,,,
63,2.5,4,34.4341,5,0,0,2,2,1,0,39.26666401,-4.832564008,4.832564008,0.140342393,,,
64,2.5,4,31.3669,6,0,0,2,2,1,0,39.26666401,-7.899764008,7.899764008,0.251850327,,,
65,2,4,41.5661,1,1,0,2,2,1,0,41.52737375,0.038726249,0.038726249,0.000931679,,,
66,2,4,44.708,6,0,0,2,2,1,0,41.52737375,3.180626249,3.180626249,0.071142217,,,
67,2,4,59.5361,6,0,0,2,2,0,0,41.52737375,18.00872625,18.00872625,0.302484144,,,
68,2,4,59.4381,6,1,0,2,2,0,0,41.52737375,17.91072625,17.91072625,0.301334098,,,
69,2,4,46.2,5,0,0,1,1,0,0,41.52737375,4.672626249,4.672626249,0.101139096,,,
70,2,4,41.399,6,1,0,1,1,0,0,41.52737375,-0.128373751,0.128373751,0.00310089,,,
71,2.5,5,44.5159,5,0,0,2,2,1,0,39.26666401,5.249235992,5.249235992,0.117918227,,,
72,2.5,5,42.4888,6,1,0,2,2,1,0,39.26666401,3.222135992,3.222135992,0.075834949,,,
73,3,6,35.8,6,1,0,2,2,1,0,37.00595427,-1.205954266,1.205954266,0.033685873,,,
74,6.8,8,23.4,8,0,0,1,1,1,0,19.82456023,3.575439774,3.575439774,0.152796572,,,
75,4.4,8,33.0499,8,1,0,2,2,1,0,30.67596699,2.373933012,2.373933012,0.07182875,,,
76,4.4,8,33.6032,8,1,0,2,2,1,0,30.67596699,2.927233012,2.927233012,0.087111734,,,
77,2.4,4,42,6,1,0,2,2,1,0,39.71880596,2.281194043,2.281194043,0.054314144,,,
78,3.6,6,37.4874,6,1,0,2,2,1,0,34.29310258,3.194297424,3.194297424,0.085209895,,,
79,3.6,6,36.1,6,1,0,2,2,1,0,34.29310258,1.806897424,1.806897424,0.05005256,,,
80,2,4,39.4,6,1,0,2,2,1,0,41.52737375,-2.127373751,2.127373751,0.053994258,,,
81,2,4,44.7,6,0,0,2,2,1,0,41.52737375,3.172626249,3.172626249,0.070975979,,,
82,2.4,4,42.5,6,1,0,2,2,1,0,39.71880596,2.781194043,2.781194043,0.06543986,,,
83,2,4,41.5,4,1,0,2,2,1,0,41.52737375,-0.027373751,0.027373751,0.000659608,,,
84,2,4,43.5,6,1,0,2,2,1,0,41.52737375,1.972626249,1.972626249,0.04534773,,,
85,3.6,6,40.5,6,1,0,2,2,1,0,34.29310258,6.206897424,6.206897424,0.153256727,,,
86,3,6,39.7,6,1,1,2,2,1,0,37.00595427,2.694045734,2.694045734,0.067860094,,,
87,2.5,6,40.8075,7,1,0,2,2,1,0,39.26666401,1.540835992,1.540835992,0.037758647,,,
88,2.5,6,37.98,7,1,0,2,2,1,0,39.26666401,-1.286664008,1.286664008,0.033877409,,,
89,3.7,6,36.7528,7,1,0,2,2,1,1,33.84096063,2.911839373,2.911839373,0.079227688,,,
90,3.7,6,33.4,7,1,0,2,2,1,1,33.84096063,-0.440960627,0.440960627,0.013202414,,,
91,5.6,8,34.5,7,1,0,2,2,1,1,25.25026361,9.249736393,9.249736393,0.268108301,,,
92,5.6,8,32.4,7,1,0,2,2,1,1,25.25026361,7.149736393,7.149736393,0.220670876,,,
93,3,6,39.7,6,1,1,2,2,1,0,37.00595427,2.694045734,2.694045734,0.067860094,,,
94,2.5,4,51.6,1,0,0,2,2,1,0,39.26666401,12.33333599,12.33333599,0.239018139,,,
95,2.3,4,34.7,6,0,0,2,2,1,0,40.17094791,-5.470947905,5.470947905,0.157664205,,,
96,3,6,47.1,7,1,0,2,2,1,0,37.00595427,10.09404573,10.09404573,0.21431095,,,
97,4.2,8,35.7222,8,0,0,2,2,1,0,31.58025089,4.141949115,4.141949115,0.115948881,,,
98,3,6,37.9997,8,1,0,2,2,1,1,37.00595427,0.993745734,0.993745734,0.02615141,,,
99,4.4,8,31.2274,8,1,0,2,2,1,0,30.67596699,0.551433012,0.551433012,0.017658627,,,
100,4.4,8,30.548,8,1,0,2,2,1,0,30.67596699,-0.127966988,0.127966988,0.004189046,,,
101,3,6,35.4966,6,1,0,2,2,1,0,37.00595427,-1.509354266,1.509354266,0.042521094,,,
102,3,6,35.4966,6,1,0,2,2,1,0,37.00595427,-1.509354266,1.509354266,0.042521094,,,
103,4.4,8,33.6032,8,1,0,2,2,1,0,30.67596699,2.927233012,2.927233012,0.087111734,,,
104,4.4,8,29.8378,6,1,0,2,2,1,0,30.67596699,-0.838166988,0.838166988,0.028090777,,,
105,4.4,8,27.7307,6,1,0,2,2,1,0,30.67596699,-2.945266988,2.945266988,0.106209616,,,
106,4.4,8,29.8378,6,1,0,2,2,1,0,30.67596699,-0.838166988,0.838166988,0.028090777,,,
107,4.4,8,27.7307,6,1,0,2,2,1,0,30.67596699,-2.945266988,2.945266988,0.106209616,,,
108,3.6,6,37.9,5,1,0,2,2,1,0,34.29310258,3.606897424,3.606897424,0.095168797,,,
109,5.7,8,34.5,5,1,0,1,1,1,0,24.79812166,9.701878341,9.701878341,0.281213865,,,
110,4.6,8,33.9,6,1,0,2,2,1,0,29.77168309,4.128316909,4.128316909,0.12177926,,,
111,3.6,6,37.2998,7,1,0,2,2,1,1,34.29310258,3.006697424,3.006697424,0.080608942,,,
112,3.6,6,36.544,7,1,0,2,2,1,1,34.29310258,2.250897424,2.250897424,0.061594172,,,
113,3,6,36.9202,6,1,0,2,2,1,1,37.00595427,-0.085754266,0.085754266,0.002322692,,,
114,3,6,37.4259,6,1,0,2,2,1,1,37.00595427,0.419945734,0.419945734,0.011220725,,,
115,3,6,35.4354,6,0,0,2,2,1,1,37.00595427,-1.570554266,1.570554266,0.044321618,,,
116,3,6,35.891,6,1,0,2,2,1,1,37.00595427,-1.114954266,1.114954266,0.03106501,,,
117,1.6,4,43.2979,6,0,0,2,2,1,0,43.33594154,-0.038041544,0.038041544,0.0008786,,,
118,1.6,4,45.5991,1,1,0,2,2,1,0,43.33594154,2.263158456,2.263158456,0.049631647,,,
119,1.6,4,41.7,1,1,0,2,2,1,0,43.33594154,-1.635941544,1.635941544,0.039231212,,,
120,2.4,4,38.7,5,0,0,2,2,1,0,39.71880596,-1.018805957,1.018805957,0.026325735,,,
121,2.4,4,38.7,4,1,0,2,2,1,0,39.71880596,-1.018805957,1.018805957,0.026325735,,,
122,2.5,4,37.5899,5,0,0,2,2,0,1,39.26666401,-1.676764008,1.676764008,0.04460677,,,
123,2.5,4,36.6557,4,1,0,2,2,0,1,39.26666401,-2.610964008,2.610964008,0.071229413,,,
124,2.5,4,34.4341,5,0,0,2,2,1,0,39.26666401,-4.832564008,4.832564008,0.140342393,,,
125,2.5,4,31.3669,6,0,0,2,2,1,0,39.26666401,-7.899764008,7.899764008,0.251850327,,,
126,3.5,6,32.2,7,1,0,2,2,1,0,34.74524452,-2.545244524,2.545244524,0.079044861,,,
127,3.7,6,28.1,4,1,0,1,1,0,0,33.84096063,-5.740960627,5.740960627,0.204304649,,,
128,4.7,8,25.7,5,1,0,1,1,0,0,29.31954114,-3.619541143,3.619541143,0.140838177,,,
129,3.7,6,27.8,4,1,0,1,1,0,0,33.84096063,-6.040960627,6.040960627,0.217300742,,,
130,4.7,8,25.6,5,1,0,1,1,0,0,29.31954114,-3.719541143,3.719541143,0.145294576,,,
131,5.7,8,27.2,5,1,0,1,1,1,0,24.79812166,2.401878341,2.401878341,0.088304351,,,
132,3.7,6,31.3641,6,1,1,2,2,1,0,33.84096063,-2.476860627,2.476860627,0.0789712,,,
133,3.7,6,31.3639,6,0,1,2,2,1,0,33.84096063,-2.477060627,2.477060627,0.078978081,,,
134,5,8,28.716,6,1,1,2,2,1,0,27.9631153,0.752884702,0.752884702,0.0262183,,,
135,5,8,28.7009,6,0,1,2,2,1,0,27.9631153,0.737784702,0.737784702,0.025705978,,,
136,3.7,6,24.4,4,1,0,1,1,0,0,33.84096063,-9.440960627,9.440960627,0.386924616,,,
137,4.7,8,25.6,5,0,0,1,1,0,0,29.31954114,-3.719541143,3.719541143,0.145294576,,,
138,4.7,8,24.6,5,1,0,1,1,0,0,29.31954114,-4.719541143,4.719541143,0.191851266,,,
139,5.7,8,25.6,5,1,0,1,1,1,0,24.79812166,0.801878341,0.801878341,0.031323373,,,
140,3.7,6,28.5668,6,1,1,2,2,1,0,33.84096063,-5.274160627,5.274160627,0.184625531,,,
141,3.7,6,28.5674,6,0,1,2,2,1,0,33.84096063,-5.273560627,5.273560627,0.184600651,,,
142,5,8,25.8975,6,1,1,2,2,1,0,27.9631153,-2.065615298,2.065615298,0.079761185,,,
143,5,8,25.8972,6,0,1,2,2,1,0,27.9631153,-2.065915298,2.065915298,0.079773694,,,
144,6.2,8,19.5139,6,0,1,1,1,1,0,22.53741192,-3.023511917,3.023511917,0.154941448,,,
145,2.2,4,30.45,6,0,0,2,2,0,0,40.62308985,-10.17308985,10.17308985,0.334091621,,,
146,6,8,21.4734,6,1,0,1,1,1,0,23.44169581,-1.968295813,1.968295813,0.091662048,,,
147,6,8,21.4734,6,1,0,1,1,1,0,23.44169581,-1.968295813,1.968295813,0.091662048,,,
148,6,8,21.4734,6,1,0,1,1,1,0,23.44169581,-1.968295813,1.968295813,0.091662048,,,
149,4.6,8,23,4,1,1,1,1,0,0,29.77168309,-6.771683091,6.771683091,0.294421004,,,
150,5.4,8,21.8,4,1,1,1,1,0,0,26.1545475,-4.354547504,4.354547504,0.199749886,,,
151,4.6,8,23,4,1,1,1,1,0,0,29.77168309,-6.771683091,6.771683091,0.294421004,,,
152,5.4,8,21.6412,4,1,1,1,1,0,0,26.1545475,-4.513347504,4.513347504,0.208553477,,,
153,6.8,10,18.6,5,1,1,1,1,0,0,19.82456023,-1.224560226,1.224560226,0.065836571,,,
154,5.4,8,21.2,4,1,1,1,1,0,0,26.1545475,-4.954547504,4.954547504,0.233705071,,,
155,6,8,21.4734,6,1,0,1,1,1,0,23.44169581,-1.968295813,1.968295813,0.091662048,,,
156,6,8,21.4734,6,1,0,1,1,1,0,23.44169581,-1.968295813,1.968295813,0.091662048,,,
157,6,8,21.4734,6,1,0,1,1,1,0,23.44169581,-1.968295813,1.968295813,0.091662048,,,
158,4.8,8,22.8,6,1,0,1,1,1,0,28.86739919,-6.067399195,6.067399195,0.266114,,,
159,6,8,21.8,6,1,0,1,1,1,0,23.44169581,-1.641695813,1.641695813,0.075307147,,,
160,6,8,21.6285,6,1,0,1,1,1,0,23.44169581,-1.813195813,1.813195813,0.083833637,,,
161,4.6,8,21.9,4,1,1,1,1,0,0,29.77168309,-7.871683091,7.871683091,0.359437584,,,
162,5.4,8,21.2,4,1,1,1,1,0,0,26.1545475,-4.954547504,4.954547504,0.233705071,,,
163,6.8,10,17.7,5,1,1,1,1,0,0,19.82456023,-2.124560226,2.124560226,0.120031651,,,
164,5.4,8,20.6,4,1,1,1,1,0,0,26.1545475,-5.554547504,5.554547504,0.269638228,,,
165,4.8,8,22.8,6,1,0,1,1,1,0,28.86739919,-6.067399195,6.067399195,0.266114,,,
166,6,8,21.8,6,1,0,1,1,1,0,23.44169581,-1.641695813,1.641695813,0.075307147,,,
167,6,8,21.6515,6,1,0,1,1,1,0,23.44169581,-1.790195813,1.790195813,0.0826823,,,
168,3.6,6,35,6,1,0,2,2,1,0,34.29310258,0.706897424,0.706897424,0.020197069,,,
169,3.6,6,35,6,1,0,2,2,1,0,34.29310258,0.706897424,0.706897424,0.020197069,,,
170,2.7,4,37,6,1,0,2,2,1,0,38.36238011,-1.362380112,1.362380112,0.036821084,,,
171,3.5,6,34,6,1,0,2,2,1,0,34.74524452,-0.745244524,0.745244524,0.021918957,,,
172,3.5,6,30.0493,6,1,0,2,2,1,0,34.74524452,-4.695944524,4.695944524,0.156274673,,,
173,6,8,21.7,6,1,0,1,1,1,0,23.44169581,-1.741695813,1.741695813,0.08026248,,,
174,3.6,6,32.3,5,1,0,2,2,1,0,34.29310258,-1.993102576,1.993102576,0.061705962,,,
175,5.7,8,27.2,5,1,0,1,1,1,0,24.79812166,2.401878341,2.401878341,0.088304351,,,
176,2,4,36.8,4,0,0,2,2,1,0,41.52737375,-4.727373751,4.727373751,0.128461243,,,
177,3.6,6,35.5,6,1,0,2,2,1,0,34.29310258,1.206897424,1.206897424,0.033997111,,,
178,3.7,6,30.4,4,1,0,1,1,0,0,33.84096063,-3.440960627,3.440960627,0.113189494,,,
179,4,6,29.4,5,1,0,2,2,0,0,32.48453478,-3.084534782,3.084534782,0.104916149,,,
180,3.5,6,34.763,6,1,1,2,2,1,0,34.74524452,0.017755476,0.017755476,0.000510758,,,
181,3.5,6,34.7675,6,1,1,2,2,1,0,34.74524452,0.022255476,0.022255476,0.000640123,,,
182,6,8,32.8,1,0,0,1,1,1,0,23.44169581,9.358304187,9.358304187,0.285314152,,,
183,6,8,21.7,6,1,0,1,1,1,0,23.44169581,-1.741695813,1.741695813,0.08026248,,,
184,2.4,4,40.3,6,1,0,2,2,1,0,39.71880596,0.581194043,0.581194043,0.014421688,,,
185,2.4,4,37.3,6,0,0,2,2,1,0,39.71880596,-2.418805957,2.418805957,0.064847345,,,
186,3.5,6,35.8,6,1,0,2,2,1,0,34.74524452,1.054755476,1.054755476,0.029462443,,,
187,5.4,8,24.1556,6,1,1,2,1,1,0,26.1545475,-1.998947504,1.998947504,0.082752964,,,
188,2,4,43.2,5,0,0,2,2,1,0,41.52737375,1.672626249,1.672626249,0.0387182,,,
189,2,4,42.9733,1,0,0,2,2,1,0,41.52737375,1.445926249,1.445926249,0.033647084,,,
190,3.2,6,34.5424,6,1,0,2,2,1,0,36.10167037,-1.559270369,1.559270369,0.045140765,,,
191,3.2,6,34.5424,6,1,0,2,2,1,0,36.10167037,-1.559270369,1.559270369,0.045140765,,,
192,3,6,35.5052,8,1,0,2,2,1,1,37.00595427,-1.500754266,1.500754266,0.042268577,,,
193,3,6,35.9931,8,1,0,2,2,1,1,37.00595427,-1.012854266,1.012854266,0.028140234,,,
194,3,6,32.286,8,1,0,2,2,1,1,37.00595427,-4.719954266,4.719954266,0.14619198,,,
195,4.4,8,28.1647,8,1,0,2,2,1,0,30.67596699,-2.511266988,2.511266988,0.089163633,,,
196,6,8,32.4,1,0,0,1,1,1,0,23.44169581,8.958304187,8.958304187,0.27649087,,,
197,6.2,8,24.2,6,1,0,1,1,1,0,22.53741192,1.662588083,1.662588083,0.068701987,,,
198,6.2,8,24.2,6,1,0,1,1,1,0,22.53741192,1.662588083,1.662588083,0.068701987,,,
199,5.3,8,29,6,1,0,1,1,1,0,26.60668945,2.393310548,2.393310548,0.08252795,,,
200,5.3,8,29,6,1,0,1,1,1,0,26.60668945,2.393310548,2.393310548,0.08252795,,,
201,6,8,21.2,6,1,0,1,1,1,0,23.44169581,-2.241695813,2.241695813,0.105740369,,,
202,3.6,6,31.2,5,1,0,2,2,1,0,34.29310258,-3.093102576,3.093102576,0.099137903,,,
203,5.7,8,27.2941,5,1,0,1,1,1,0,24.79812166,2.495978341,2.495978341,0.091447541,,,
204,3.6,6,32.9,6,1,0,2,2,1,0,34.29310258,-1.393102576,1.393102576,0.042343543,,,
205,3.7,6,28.5,4,1,0,1,1,0,0,33.84096063,-5.340960627,5.340960627,0.187402127,,,
206,4,6,28.5,5,1,0,2,2,0,0,32.48453478,-3.984534782,3.984534782,0.139808238,,,
207,6,8,32.4,1,0,0,1,1,1,0,23.44169581,8.958304187,8.958304187,0.27649087,,,
208,5.3,8,29,6,1,0,1,1,1,0,26.60668945,2.393310548,2.393310548,0.08252795,,,
209,6.2,8,24.2,6,1,0,1,1,1,0,22.53741192,1.662588083,1.662588083,0.068701987,,,
210,6,8,21.2,6,1,0,1,1,1,0,23.44169581,-2.241695813,2.241695813,0.105740369,,,
211,5,8,27.4375,7,1,0,2,2,1,1,27.9631153,-0.525615298,0.525615298,0.019156822,,,
212,2.4,4,37.4,6,1,0,2,2,1,0,39.71880596,-2.318805957,2.318805957,0.062000159,,,
213,3.5,6,34.9,6,1,0,2,2,1,0,34.74524452,0.154755476,0.154755476,0.004434254,,,
214,5,8,24.7928,6,1,0,2,2,1,1,27.9631153,-3.170315298,3.170315298,0.127872419,,,
215,5,8,23.6028,6,1,0,2,2,1,0,27.9631153,-4.360315298,4.360315298,0.184737205,,,
216,3,6,31.5,7,1,0,2,2,1,0,37.00595427,-5.505954266,5.505954266,0.174792199,,,
217,3,6,34.4,7,1,0,2,2,1,0,37.00595427,-2.605954266,2.605954266,0.075754484,,,
218,3,6,33.3,7,1,0,2,2,1,0,37.00595427,-3.705954266,3.705954266,0.111289918,,,
219,2,4,41.2,1,0,0,2,2,1,0,41.52737375,-0.327373751,0.327373751,0.007945965,,,
220,3,6,33.1281,8,1,0,2,2,1,1,37.00595427,-3.877854266,3.877854266,0.117056344,,,
221,2.5,4,32.8,4,1,0,2,2,1,0,39.26666401,-6.466664008,6.466664008,0.197154391,,,
222,2.5,4,37.6,5,0,0,2,2,1,0,39.26666401,-1.666664008,1.666664008,0.04432617,,,
223,2.5,4,37.0378,4,1,0,2,2,1,0,39.26666401,-2.228864008,2.228864008,0.060178089,,,
224,2.5,4,40.1077,1,1,0,2,2,0,1,39.26666401,0.841035992,0.841035992,0.02096944,,,
225,2.5,4,37.137,6,0,0,2,2,0,1,39.26666401,-2.129664008,2.129664008,0.057346151,,,
226,3.6,6,34.2596,5,1,0,2,2,1,0,34.29310258,-0.033502576,0.033502576,0.000977903,,,
227,3.6,6,29.5,5,1,0,2,2,1,0,34.29310258,-4.793102576,4.793102576,0.162478053,,,
228,3,6,33.2,8,1,0,2,2,1,0,37.00595427,-3.805954266,3.805954266,0.114637177,,,
229,1.8,4,49.1,6,0,0,2,2,1,0,42.43165765,6.668342353,6.668342353,0.135811453,,,
230,1.8,4,50.8,6,0,0,2,2,1,0,42.43165765,8.368342353,8.368342353,0.164731149,,,
231,4.6,8,21.9,4,1,0,1,1,0,0,29.77168309,-7.871683091,7.871683091,0.359437584,,,
232,4.6,8,24.3,4,1,0,1,1,0,0,29.77168309,-5.471683091,5.471683091,0.225172144,,,
233,2,4,48.7,6,1,0,2,2,1,0,41.52737375,7.172626249,7.172626249,0.147281853,,,
234,2,4,46.2,6,0,0,2,2,1,0,41.52737375,4.672626249,4.672626249,0.101139096,,,
235,2.4,4,43.4319,6,1,0,2,2,1,0,39.71880596,3.713094043,3.713094043,0.085492323,,,
236,2.4,4,44.8,6,0,0,2,2,1,0,39.71880596,5.081194043,5.081194043,0.11341951,,,
237,2.4,4,59.9,6,0,0,2,2,1,0,39.71880596,20.18119404,20.18119404,0.336914759,,,
238,2,4,51.7876,6,1,0,2,2,1,0,41.52737375,10.26022625,10.26022625,0.198121293,,,
239,3.5,6,34.0288,1,0,0,2,2,1,0,34.74524452,-0.716444524,0.716444524,0.021054064,,,
240,2,4,39.4447,6,1,0,2,2,1,0,41.52737375,-2.082673751,2.082673751,0.052799838,,,
241,2,4,46.9,6,0,0,2,2,1,0,41.52737375,5.372626249,5.372626249,0.114554931,,,
242,2.8,6,30.3,6,1,0,2,2,1,0,37.91023816,-7.610238163,7.610238163,0.251162976,,,
243,3,6,31.3025,6,1,0,2,2,1,0,37.00595427,-5.703454266,5.703454266,0.182204433,,,
244,3,6,34.4,6,1,0,2,2,1,0,37.00595427,-2.605954266,2.605954266,0.075754484,,,
245,2.4,4,56.3,6,0,0,2,2,1,0,39.71880596,16.58119404,16.58119404,0.294514992,,,
