EngDispl,NumCyl,FE,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift,id,beta0,beta1
3.6,6,37.6908,7,0,0,2,2,1,1,91,50.56,-4.52
3.6,6,34.8754,6,0,0,2,2,1,1,92,50.56,-4.52
3.6,6,36.7563,7,0,0,2,2,1,1,93,50.56,-4.52
3.6,6,34.8754,6,0,0,2,2,1,1,94,50.56,-4.52
3.6,6,36.4395,7,0,0,2,2,1,1,95,50.56,-4.52
3.6,6,34.8754,6,0,0,2,2,1,1,96,50.56,-4.52
3.6,6,36.4395,7,0,0,2,2,1,1,97,50.56,-4.52
3.8,6,34.5148,6,0,0,2,2,1,1,98,50.56,-4.52
3.8,6,36.013,7,0,0,2,2,1,1,99,50.56,-4.52
3.8,6,34.5148,6,0,0,2,2,1,1,100,50.56,-4.52
3.8,6,37.0769,7,0,0,2,2,1,1,101,50.56,-4.52
3.8,6,34.5148,6,0,0,2,2,1,1,102,50.56,-4.52
3.8,6,37.0769,7,0,0,2,2,1,1,103,50.56,-4.52
3.6,6,35.2427,6,0,0,2,2,1,1,104,50.56,-4.52
3.6,6,37.6908,7,0,0,2,2,1,1,105,50.56,-4.52
3.8,6,35.3594,6,0,0,2,2,1,1,106,50.56,-4.52
3.8,6,36.9347,7,0,0,2,2,1,1,107,50.56,-4.52
3.8,6,36.9347,7,0,0,2,2,1,1,108,50.56,-4.52
3.8,6,35.3594,6,0,0,2,2,1,1,109,50.56,-4.52
3.8,6,33.8482,7,1,0,2,2,1,1,110,50.56,-4.52
3.8,6,33.1649,6,0,0,2,2,1,1,111,50.56,-4.52
3.8,6,34.255,7,1,0,2,2,1,1,112,50.56,-4.52
3.8,6,33.2357,6,0,0,2,2,1,1,113,50.56,-4.52
3.8,6,33.8482,7,1,0,2,2,1,1,114,50.56,-4.52
3.8,6,34.255,7,1,0,2,2,1,1,115,50.56,-4.52
2.5,5,39.7267,6,0,0,2,2,1,0,116,50.56,-4.52
5.9,12,26.6208,6,1,0,2,2,0,0,117,50.56,-4.52
2,4,42.7743,1,0,0,2,2,1,1,118,50.56,-4.52
2,4,37,6,1,0,2,2,1,1,119,50.56,-4.52
2,4,37.7989,6,1,0,2,2,1,1,120,50.56,-4.52
2,4,42.575,6,1,0,2,2,1,1,121,50.56,-4.52
3.2,6,36.2,6,0,0,2,2,1,1,122,50.56,-4.52
4.2,8,31,6,1,0,2,2,1,0,123,50.56,-4.52
4.2,8,29.3,6,0,0,2,2,1,0,124,50.56,-4.52
3,6,34,7,0,0,2,2,1,0,125,50.56,-4.52
2,4,39.7256,6,0,0,2,2,1,0,126,50.56,-4.52
6,12,23.2715,6,1,0,2,2,1,0,127,50.56,-4.52
3,6,38.1696,6,1,0,2,2,1,1,128,50.56,-4.52
3,6,38.7896,6,0,0,2,2,1,1,129,50.56,-4.52
3,6,39.7103,6,1,0,2,2,1,1,130,50.56,-4.52
3,6,38.7896,6,0,0,2,2,1,1,131,50.56,-4.52
3,6,35.5,6,1,0,2,2,1,0,132,50.56,-4.52
3,6,35.2678,6,0,0,2,2,1,0,133,50.56,-4.52
3,6,36.1548,6,1,0,2,2,1,0,134,50.56,-4.52
3,6,35.7081,6,0,0,2,2,1,0,135,50.56,-4.52
3,6,39.7103,6,1,0,2,2,1,1,136,50.56,-4.52
3,6,38.7896,6,0,0,2,2,1,1,137,50.56,-4.52
3,6,38.1696,6,1,0,2,2,1,1,138,50.56,-4.52
3,6,36.798,6,1,0,2,2,1,1,139,50.56,-4.52
3,6,35.5404,6,1,0,2,2,1,1,140,50.56,-4.52
3,6,35.4606,6,0,0,2,2,1,1,141,50.56,-4.52
3,6,36.1548,6,1,0,2,2,1,0,142,50.56,-4.52
3,6,35.7081,6,0,0,2,2,1,0,143,50.56,-4.52
3,6,36.1548,6,1,0,2,2,1,0,144,50.56,-4.52
3,6,35.7081,6,0,0,2,2,1,0,145,50.56,-4.52
3,6,34.7288,6,1,0,2,2,1,0,146,50.56,-4.52
3,6,34.2853,6,1,0,2,2,1,0,147,50.56,-4.52
4.8,8,30.5375,6,1,0,2,2,1,1,148,50.56,-4.52
4.8,8,31.3747,6,1,0,2,2,1,1,149,50.56,-4.52
4.8,8,28.8,6,1,0,2,2,1,1,150,50.56,-4.52
4.8,8,31.8,6,1,0,2,2,1,1,151,50.56,-4.52
4,8,27.3704,7,1,0,2,2,1,0,152,50.56,-4.52
4,8,27.3,6,0,0,2,2,1,0,153,50.56,-4.52
4,8,28.4,6,0,0,2,2,1,0,154,50.56,-4.52
4,8,27.9711,7,1,0,2,2,1,0,155,50.56,-4.52
5,10,23.227,6,1,0,2,2,1,0,156,50.56,-4.52
5,10,23.6182,7,1,0,2,2,1,0,157,50.56,-4.52
5,10,23.7,6,1,0,2,2,1,0,158,50.56,-4.52
5,10,24.0505,7,1,0,2,2,1,0,159,50.56,-4.52
1.6,4,47.9,4,1,0,2,2,1,0,160,50.56,-4.52
1.6,4,48.9,5,0,0,2,2,1,0,161,50.56,-4.52
2.2,4,51.9,5,0,0,2,2,1,0,162,50.56,-4.52
2.2,4,46.8,4,1,0,2,2,1,0,163,50.56,-4.52
2,4,41.9,5,0,0,2,2,1,0,164,50.56,-4.52
2.2,4,51.9,5,0,0,2,2,1,0,165,50.56,-4.52
4,6,32.7568,5,1,1,1,1,0,0,166,50.56,-4.52
4,6,36.3926,5,0,0,1,1,0,0,167,50.56,-4.52
4.6,8,32.1109,5,1,1,2,1,1,0,168,50.56,-4.52
4.6,8,33.8,5,0,1,2,1,1,0,169,50.56,-4.52
5.4,8,30.4,6,0,0,2,2,0,0,170,50.56,-4.52
1.8,4,50.5,5,1,0,2,2,1,1,171,50.56,-4.52
1.8,4,48.6,5,0,0,2,2,1,1,172,50.56,-4.52
1.8,4,51.1915,5,1,0,2,2,1,1,173,50.56,-4.52
2,4,40.5,6,0,0,2,2,1,1,174,50.56,-4.52
2,4,41.7998,5,1,0,2,2,1,0,175,50.56,-4.52
2,4,42,6,0,0,2,2,1,0,176,50.56,-4.52
3.8,6,38.0484,6,1,0,2,2,1,0,177,50.56,-4.52
3.8,6,36.4,6,0,0,2,2,1,0,178,50.56,-4.52
3.7,6,32.9748,6,0,0,2,2,1,1,179,50.56,-4.52
3.7,6,35.2288,7,1,0,2,2,1,1,180,50.56,-4.52
3.7,6,34.7305,6,0,0,2,2,1,1,181,50.56,-4.52
3.7,6,37.065,7,1,0,2,2,1,1,182,50.56,-4.52
3.7,6,35.162,7,1,0,2,2,1,1,183,50.56,-4.52
2.5,6,36.2901,6,1,0,2,2,1,0,184,50.56,-4.52
2.5,6,36.7047,6,0,0,2,2,1,0,185,50.56,-4.52
2.5,6,40.8247,6,1,0,2,2,1,0,186,50.56,-4.52
3.5,6,36.5564,6,1,0,2,2,1,0,187,50.56,-4.52
5,8,32.0888,8,1,0,2,2,1,0,188,50.56,-4.52
4.2,8,26.8817,6,0,0,2,2,1,0,189,50.56,-4.52
4.7,8,26.7022,6,0,0,2,2,1,0,190,50.56,-4.52
4.7,8,26.5604,6,0,0,2,2,1,0,191,50.56,-4.52
1.3,2,30.2,6,0,0,0,0,0,0,192,50.56,-4.52
1.3,2,32.1,6,1,0,0,0,0,0,193,50.56,-4.52
3.5,6,36.0876,7,1,0,2,2,1,0,194,50.56,-4.52
5.5,8,31.7,7,1,0,2,2,1,0,195,50.56,-4.52
1.6,4,51.6555,6,0,0,2,2,1,1,196,50.56,-4.52
1.6,4,47.2025,6,1,0,2,2,1,1,197,50.56,-4.52
1.6,4,44.5714,6,1,0,2,2,1,0,198,50.56,-4.52
1.6,4,47.7592,6,0,0,2,2,1,0,199,50.56,-4.52
1.6,4,46.5047,6,0,0,2,2,1,1,200,50.56,-4.52
2.4,4,38.5995,5,0,0,2,2,0,1,201,50.56,-4.52
2.4,4,37.4902,4,1,0,2,2,0,1,202,50.56,-4.52
3.8,6,34.6,6,0,0,2,2,0,1,203,50.56,-4.52
3.8,6,33.2,5,1,0,2,2,0,1,204,50.56,-4.52
2.5,4,44.7365,1,1,0,2,2,1,0,205,50.56,-4.52
2.5,4,43.8,6,0,0,2,2,1,0,206,50.56,-4.52
3.5,6,37.9628,6,0,0,2,2,1,0,207,50.56,-4.52
3.5,6,38.0169,1,1,0,2,2,1,0,208,50.56,-4.52
3.8,6,29.0307,6,1,0,2,2,1,0,209,50.56,-4.52
2.2,4,51.9,5,0,0,2,2,1,0,210,50.56,-4.52
2.2,4,46.8,4,1,0,2,2,1,0,211,50.56,-4.52
2.2,4,46.8,4,1,0,2,2,1,0,212,50.56,-4.52
2.2,4,51.9,5,0,0,2,2,1,0,213,50.56,-4.52
2.2,4,51.9,5,0,0,2,2,1,0,214,50.56,-4.52
4.6,8,29.14,5,1,0,2,1,1,0,215,50.56,-4.52
4.6,8,31.61,5,0,0,2,1,1,0,216,50.56,-4.52
2,4,41.2,6,0,0,2,2,0,0,217,50.56,-4.52
2,4,37.5,5,1,0,2,2,0,0,218,50.56,-4.52
1.6,4,48.9,5,0,0,2,2,1,0,219,50.56,-4.52
1.6,4,42.1,4,1,0,2,2,1,0,220,50.56,-4.52
2.4,4,40.2,4,1,0,2,2,1,0,221,50.56,-4.52
2.4,4,38.2,5,0,0,2,2,1,0,222,50.56,-4.52
1.8,4,47.2,4,1,0,2,2,1,0,223,50.56,-4.52
1.8,4,46.9,5,0,0,2,2,1,0,224,50.56,-4.52
1.5,4,48.8622,4,1,0,2,2,1,0,225,50.56,-4.52
1.5,4,50.6725,5,0,0,2,2,1,0,226,50.56,-4.52
2,4,41.521,6,0,0,2,2,1,0,227,50.56,-4.52
2,4,41.3156,6,0,0,2,2,1,0,228,50.56,-4.52
2.5,5,40.8,6,0,0,2,2,1,0,229,50.56,-4.52
2.5,5,39.3753,5,0,0,2,2,1,0,230,50.56,-4.52
2.5,5,38.4,5,1,0,2,2,1,0,231,50.56,-4.52
2.5,5,38.6,6,0,0,2,2,1,0,232,50.56,-4.52
2.4,4,39.3,6,0,0,2,2,1,0,233,50.56,-4.52
2.4,4,42.3,5,1,0,2,2,1,0,234,50.56,-4.52
3.5,6,37.6,5,1,0,2,2,1,1,235,50.56,-4.52
2,4,42.7743,1,0,0,2,2,1,1,236,50.56,-4.52
2,4,37.7989,6,1,0,2,2,1,1,237,50.56,-4.52
2,4,42.575,6,1,0,2,2,1,1,238,50.56,-4.52
3,6,34.1,6,0,0,2,2,1,0,239,50.56,-4.52
3,6,35,7,0,0,2,2,1,0,240,50.56,-4.52
6.8,8,21.006,6,0,0,1,1,0,0,241,50.56,-4.52
6.8,8,21.006,6,0,0,1,1,0,0,242,50.56,-4.52
6,12,23.8,6,1,0,2,2,1,0,243,50.56,-4.52
3,6,39.7103,6,1,0,2,2,1,1,244,50.56,-4.52
3,6,38.7896,6,0,0,2,2,1,1,245,50.56,-4.52
3,6,35.5404,6,1,0,2,2,1,1,246,50.56,-4.52
3,6,35.4606,6,0,0,2,2,1,1,247,50.56,-4.52
3,6,51.1,6,1,0,2,2,0,0,248,50.56,-4.52
3,6,36.1548,6,1,0,2,2,1,0,249,50.56,-4.52
3,6,35.7081,6,0,0,2,2,1,0,250,50.56,-4.52
3,6,34.7288,6,1,0,2,2,1,0,251,50.56,-4.52
3,6,34.2853,6,1,0,2,2,1,0,252,50.56,-4.52
4,8,28.4,6,0,0,2,2,1,0,253,50.56,-4.52
4,8,27.9711,7,1,0,2,2,1,0,254,50.56,-4.52
1.6,4,47.9,4,1,0,2,2,1,0,255,50.56,-4.52
1.6,4,48.9,5,0,0,2,2,1,0,256,50.56,-4.52
3.6,6,40.4,6,0,0,2,2,1,0,257,50.56,-4.52
3.6,6,40,6,1,0,2,2,1,0,258,50.56,-4.52
6.2,8,33.8,6,0,0,1,1,0,0,259,50.56,-4.52
6.2,8,35.2,6,1,0,1,1,1,0,260,50.56,-4.52
2.2,4,51.9,5,0,0,2,2,1,0,261,50.56,-4.52
2.2,4,46.8,4,1,0,2,2,1,0,262,50.56,-4.52
2.2,4,51.9,5,0,0,2,2,1,0,263,50.56,-4.52
2.4,4,40.1,4,1,0,2,2,1,0,264,50.56,-4.52
2.7,6,36.5,4,1,0,2,2,0,0,265,50.56,-4.52
3.5,6,37.6,6,1,0,2,2,0,0,266,50.56,-4.52
3.5,6,34.7,5,1,0,2,2,0,0,267,50.56,-4.52
5.7,8,34.5,5,1,0,1,1,1,0,268,50.56,-4.52
5.7,8,33.6,6,0,0,1,1,1,0,269,50.56,-4.52
6.1,8,30.1,6,0,0,1,1,0,0,270,50.56,-4.52
6.1,8,26,5,1,0,1,1,0,0,271,50.56,-4.52
2,4,47.3278,4,1,0,2,2,0,0,272,50.56,-4.52
2,4,49.3,5,0,0,2,2,0,0,273,50.56,-4.52
2.4,4,43.5,5,0,0,2,2,1,1,274,50.56,-4.52
2.4,4,43.3,5,1,0,2,2,1,1,275,50.56,-4.52
3.5,6,35.5,6,0,0,2,2,1,1,276,50.56,-4.52
3.5,6,39.9,5,1,0,2,2,1,1,277,50.56,-4.52
1.3,4,65,1,1,0,1,1,1,1,278,50.56,-4.52
1.3,4,62.2674,1,1,0,1,1,1,1,279,50.56,-4.52
1.3,4,61.2,1,1,0,1,1,1,1,280,50.56,-4.52
1.6,4,50.4,4,1,0,2,2,1,0,281,50.56,-4.52
1.6,4,48.2,5,0,0,2,2,1,0,282,50.56,-4.52
1.6,4,50.8205,5,0,0,2,2,1,0,283,50.56,-4.52
2,4,47.2964,4,1,0,2,2,1,0,284,50.56,-4.52
2,4,50.9,5,1,0,2,2,1,0,285,50.56,-4.52
2,4,47.4,5,0,0,2,2,1,0,286,50.56,-4.52
2.4,4,44.344,5,1,0,2,2,1,0,287,50.56,-4.52
2.4,4,44.6,6,0,0,2,2,1,0,288,50.56,-4.52
1.6,4,50.2669,4,1,0,2,2,1,0,289,50.56,-4.52
1.6,4,48.3188,5,0,0,2,2,1,0,290,50.56,-4.52
3.5,6,35.3494,1,0,0,2,2,1,0,291,50.56,-4.52
2.4,4,47.4081,1,0,0,2,2,1,0,292,50.56,-4.52
2,4,46.624,5,1,0,2,2,1,0,293,50.56,-4.52
2,4,46.4387,5,0,0,2,2,1,0,294,50.56,-4.52
2.5,4,40.1876,6,0,0,2,2,1,0,295,50.56,-4.52
2.5,4,40.8873,5,1,0,2,2,1,0,296,50.56,-4.52
3,6,35.8,6,0,0,2,2,1,0,297,50.56,-4.52
3,6,35.7311,7,1,0,2,2,1,0,298,50.56,-4.52
3.5,6,35.9,7,1,0,2,2,1,0,299,50.56,-4.52
3,6,34.9,7,1,0,2,2,1,0,300,50.56,-4.52
3.5,6,33.9,7,1,0,2,2,1,0,301,50.56,-4.52
3.5,6,34.6,7,1,0,2,2,1,0,302,50.56,-4.52
6.3,8,26.6722,7,1,0,2,2,1,0,303,50.56,-4.52
5.5,8,29.2,7,1,0,2,2,1,0,304,50.56,-4.52
5.5,12,23.9,5,1,0,2,1,1,0,305,50.56,-4.52
6.3,8,24.7,7,1,0,2,2,1,0,306,50.56,-4.52
6,12,23.4,5,1,0,2,1,1,0,307,50.56,-4.52
5.5,8,29,7,1,0,2,2,1,0,308,50.56,-4.52
6.3,8,24.8202,7,1,0,2,2,1,0,309,50.56,-4.52
2,4,42.9363,5,0,0,2,2,1,0,310,50.56,-4.52
2,4,42.4579,1,0,0,2,2,1,0,311,50.56,-4.52
2,4,34.9,6,1,0,2,2,1,0,312,50.56,-4.52
2.4,4,38.8769,5,0,0,2,2,1,0,313,50.56,-4.52
2.4,4,40.3706,1,0,0,2,2,1,0,314,50.56,-4.52
2,4,30.6,5,0,0,2,2,1,0,315,50.56,-4.52
2,4,31.1,6,1,0,2,2,1,0,316,50.56,-4.52
1.6,4,47.9,4,1,0,2,2,1,0,317,50.56,-4.52
1.6,4,48.9,5,0,0,2,2,1,0,318,50.56,-4.52
2.4,4,42.8,4,1,0,2,2,1,0,319,50.56,-4.52
2.4,4,46.9,6,1,0,2,2,1,0,320,50.56,-4.52
2.4,4,42.6,4,1,0,2,2,1,0,321,50.56,-4.52
2.4,4,46.8,6,1,0,2,2,1,0,322,50.56,-4.52
3.5,6,40.3,4,1,0,1,1,1,0,323,50.56,-4.52
3.5,6,41.2,4,1,0,1,1,1,0,324,50.56,-4.52
3.6,6,35.6,6,1,0,2,2,1,0,325,50.56,-4.52
3.6,6,31,4,1,0,2,2,1,0,326,50.56,-4.52
6.7,12,24.2,6,1,0,2,2,1,0,327,50.56,-4.52
6.7,12,24.2,6,1,0,2,2,1,0,328,50.56,-4.52
2,4,37.1,5,1,0,2,2,0,0,329,50.56,-4.52
2,4,41.1132,6,0,0,2,2,0,0,330,50.56,-4.52
2,4,38.4627,6,1,0,2,2,0,0,331,50.56,-4.52
2,4,43.1,6,0,0,2,2,0,0,332,50.56,-4.52
2,4,38.4997,5,1,0,2,2,0,0,333,50.56,-4.52
2.5,4,37.071,5,0,0,2,2,0,1,334,50.56,-4.52
2.5,4,35.9226,4,1,0,2,2,0,1,335,50.56,-4.52
2.5,4,34.1435,5,0,0,2,2,1,0,336,50.56,-4.52
2.5,4,32.9103,4,1,0,2,2,1,0,337,50.56,-4.52
2.4,4,42.3947,1,0,0,2,2,1,0,338,50.56,-4.52
2.4,4,41.3959,6,0,0,2,2,1,0,339,50.56,-4.52
2.4,4,40.8321,1,0,0,2,2,1,0,340,50.56,-4.52
2.4,4,44.0818,1,0,0,2,2,1,0,341,50.56,-4.52
2.4,4,43.0035,6,0,0,2,2,1,0,342,50.56,-4.52
2.4,4,41.5858,1,0,0,2,2,1,0,343,50.56,-4.52
2,4,46.3629,6,0,0,2,2,1,0,344,50.56,-4.52
2,4,45.1901,1,1,0,2,2,1,0,345,50.56,-4.52
2,4,44.708,6,0,0,2,2,1,0,346,50.56,-4.52
2,4,41.5661,1,1,0,2,2,1,0,347,50.56,-4.52
1.8,4,48.4,4,1,0,2,2,1,0,348,50.56,-4.52
1.8,4,50,5,0,0,2,2,1,0,349,50.56,-4.52
2.4,4,42.2,5,0,0,2,2,1,0,350,50.56,-4.52
2.4,4,42.6,5,1,0,2,2,1,0,351,50.56,-4.52
2,4,42,6,0,0,2,2,1,0,352,50.56,-4.52
2,4,41.521,6,0,0,2,2,1,0,353,50.56,-4.52
3.6,6,35.1,6,0,0,2,2,1,0,354,50.56,-4.52
3.6,6,33.5,6,0,0,2,2,1,0,355,50.56,-4.52
2,4,60.1,6,0,0,2,2,0,0,356,50.56,-4.52
2,4,58.535,6,0,0,2,2,0,0,357,50.56,-4.52
2.5,5,39.6147,5,0,0,2,2,1,0,358,50.56,-4.52
2.5,5,40.2409,6,0,0,2,2,1,0,359,50.56,-4.52
2,4,43.5414,6,0,0,2,2,1,0,360,50.56,-4.52
2,4,41.521,6,0,0,2,2,1,0,361,50.56,-4.52
2,4,43.5414,6,0,0,2,2,1,0,362,50.56,-4.52
2,4,41.521,6,0,0,2,2,1,0,363,50.56,-4.52
2,4,60.1,6,0,0,2,2,0,0,364,50.56,-4.52
2,4,58.535,6,0,0,2,2,0,0,365,50.56,-4.52
2.5,5,39.5714,5,0,0,2,2,1,0,366,50.56,-4.52
2.5,5,40.0169,6,0,0,2,2,1,0,367,50.56,-4.52
2.4,5,39.348,5,1,0,2,2,1,0,368,50.56,-4.52
2.4,5,39.3,5,0,0,2,2,1,0,369,50.56,-4.52
2.5,5,40.6,5,1,0,2,2,1,0,370,50.56,-4.52
2.5,5,40.4,6,0,0,2,2,1,0,371,50.56,-4.52
2.5,5,37.8,5,1,0,2,2,1,0,372,50.56,-4.52
2.5,5,37.8,6,0,0,2,2,1,0,373,50.56,-4.52
2.4,5,39.348,5,1,0,2,2,1,0,374,50.56,-4.52
2.4,5,39.3,5,0,0,2,2,1,0,375,50.56,-4.52
2.5,5,40.6,5,1,0,2,2,1,0,376,50.56,-4.52
2.5,5,40.4,6,0,0,2,2,1,0,377,50.56,-4.52
3.7,6,30.9,5,1,0,2,2,1,1,378,50.56,-4.52
3.5,6,36.8,5,1,0,2,2,1,1,379,50.56,-4.52
3.7,6,34.3,5,1,0,2,2,1,1,380,50.56,-4.52
3.7,6,34.4,6,0,0,2,2,1,1,381,50.56,-4.52
3.2,6,38.9,1,0,0,2,2,1,1,382,50.56,-4.52
3,6,34.7286,6,1,0,2,2,1,0,383,50.56,-4.52
4.2,8,31.5002,6,1,0,2,2,1,0,384,50.56,-4.52
4.2,8,31.5002,6,1,0,2,2,1,0,385,50.56,-4.52
5.2,10,26.7,6,0,0,2,2,1,0,386,50.56,-4.52
6,12,23.2715,6,1,0,2,2,1,0,387,50.56,-4.52
3,6,38.1696,6,1,0,2,2,1,1,388,50.56,-4.52
3,6,38.7896,6,0,0,2,2,1,1,389,50.56,-4.52
3,6,34.7818,6,1,0,2,2,1,1,390,50.56,-4.52
3,6,35.4606,6,0,0,2,2,1,1,391,50.56,-4.52
3,6,35.8831,6,1,0,2,2,1,0,392,50.56,-4.52
3,6,35.7081,6,0,0,2,2,1,0,393,50.56,-4.52
3,6,34.7288,6,1,0,2,2,1,0,394,50.56,-4.52
3,6,34.2853,6,1,0,2,2,1,0,395,50.56,-4.52
4.8,8,30.5375,6,1,0,2,2,1,1,396,50.56,-4.52
4.8,8,31.3747,6,1,0,2,2,1,1,397,50.56,-4.52
5,10,23.227,6,1,0,2,2,1,0,398,50.56,-4.52
